group	step	toxic	humanlike	reward	helpfulness	load	relv	non_random
llama	9	9.134164503469966	0.6719062094101865	0.11169558698575222	4.399635786532317	43.326866483688356	0.003729211087987686	0.8152249313552087
non_load	9	9.147029853464472	0.6734366307393211	0.10933305349744743	4.397273253044012	44.07425843988888	0.0037894829387959085	0.8233783916691988
load	9	9.142295271158218	0.6681270526474532	0.11311036943090767	4.401050568977472	43.23792213822242	0.003764721039948459	0.8239097761423458
llama	19	9.159750849021545	0.676371570405183	0.1121325478314834	4.400072747378048	43.587545185982535	0.00374740068263888	0.8177766603573929
non_load	19	9.137336167998303	0.6774578712991954	0.11001452095887759	4.397954720505442	45.11188384400993	0.003714402536751421	0.8131347348923695
load	19	9.165232601385231	0.6746666187973397	0.11788247639317398	4.4058226759397385	42.695193700644964	0.0041422329036309045	0.8141212289156656
llama	29	9.157891440170783	0.6682746480826759	0.11061259027659763	4.398552789823162	43.06126849843526	0.0037144815434070515	0.8147777507465114
non_load	29	9.155222516333225	0.6768044455363446	0.1110402503564207	4.398980449902985	43.71080883510232	0.003877184168553865	0.8187467953527026
load	29	9.156121788643025	0.6712003851012166	0.11007944940222114	4.398019648948786	42.84058296041551	0.0038858019715649742	0.8187139869474832
llama	39	9.176042767093072	0.672560227419755	0.11246824794345432	4.400408447490019	43.02612243020716	0.0038270002844816124	0.8141202252751322
non_load	39	9.17546539243335	0.6790560902060823	0.10954088967350313	4.397481089220068	43.37359670927842	0.0036361769647441857	0.8154792443044638
load	39	9.163597936275737	0.6737572064285404	0.11876030009816155	4.406700499644726	43.61974895732855	0.004227472289075251	0.811556462758304
llama	49	9.189994285672839	0.6741775906045184	0.11708178920164088	4.405021988748206	43.03113520670041	0.004053461310225664	0.8131366127885854
non_load	49	9.148337373182924	0.6758584762199311	0.11057282849854114	4.398513028045106	44.691625249983176	0.0038164299182751296	0.8225526942536722
load	49	9.176189409251567	0.6789941688548076	0.1174325523293356	4.4053727518759	45.04465049689632	0.003866152022042767	0.8234971905343259
llama	59	9.188699135804358	0.6805126020148161	0.11880967471594385	4.406749874262508	44.88293060861641	0.004072854660930584	0.8176325831403002
non_load	59	9.16073062371844	0.6870174161727136	0.11378799824932821	4.401728197795893	46.741858099228935	0.0037395217982056305	0.8224298737566281
load	59	9.182699345360653	0.6810195131322738	0.11517336872408333	4.403113568270648	44.66179014737829	0.004029562025460613	0.8162505348805492
llama	69	9.204829735927332	0.6757614240747286	0.11416198770984326	4.402102187256408	43.92596786515645	0.004046762656928142	0.8163241049558866
non_load	69	9.162671963458228	0.6830483852803488	0.11916526620943822	4.407105465756003	45.95628305686585	0.0038827994064685517	0.8266862994939502
load	69	9.183352115704862	0.6767738690640379	0.1192937044276651	4.407233903974229	43.42351545466836	0.004171111117519917	0.8184287913584948
llama	78	9.189006508175844	0.6903179755789474	0.1243441012430295	4.412284300789594	47.7410492035818	0.004084354010170233	0.8258138617979512
non_load	78	9.168542053308622	0.6925028017145827	0.12241349864369644	4.410353698190261	48.42045466614185	0.00374242274149177	0.8188001788483044
load	78	9.20924165409245	0.6846216927844552	0.12614368498974635	4.414083884536311	46.24376349906257	0.004388950319337555	0.8213596157107222
