group	step	toxic	humanlike	reward	helpfulness	load	relv
llama	9	9.183545998842629	0.6198286771229499	0.08520365820990669	4.373143857756471	42.74548553516662	0.0017990418799106252
non_load	9	9.180533568499396	0.6189681053844135	0.08668194492398264	4.374622144470547	42.77521054729137	0.0017797178084195567
load	9	9.159095135155846	0.6175747529609882	0.08094820430855346	4.368888403855118	42.187036917775806	0.0016384092375561136
llama	19	9.193274513737569	0.6183563894218124	0.0797331454707127	4.367673345017278	43.044226442910485	0.0019934846117548354
non_load	19	9.163120374713328	0.6192810803905437	0.08038060763822402	4.368320807184789	42.23481618012738	0.0017635409941026766
load	19	9.183953353054903	0.6222237974558227	0.08474820553607151	4.372688405082636	42.263655697234576	0.0022526204697615256
llama	29	9.186273460716723	0.6226719422611329	0.08617805203581168	4.374118251582376	42.89323224720093	0.0021796235228837496
non_load	29	9.173367484715769	0.623236790971936	0.08266423091389774	4.370604430460462	42.95508965936881	0.00198915914815051
load	29	9.175985836080217	0.6223992149915479	0.0858149281254521	4.373755127672017	41.876493405464686	0.0026252260908066105
llama	39	9.18259691760301	0.6263315685948637	0.08944302010380364	4.377383219650368	43.70347854597636	0.0026501415161466887
non_load	39	9.185476017037248	0.6241126431759981	0.08575599728586367	4.373696196832428	42.73915872397246	0.00231781478742638
load	39	9.177403413028758	0.6223390957818496	0.08637893625853628	4.374319135805101	41.561823014755916	0.0027808359797608455
llama	49	9.206873931221192	0.6270283152917167	0.09491934069880732	4.382859540245372	43.23476765701194	0.0038941155778752148
non_load	49	9.190307383534694	0.6294542500967097	0.08390417395074383	4.371844373497308	43.608941803934265	0.002259066729830067
load	49	9.169821503849331	0.6226817826396017	0.10173302221402104	4.389673221760586	41.21397716713367	0.00457617491571287
llama	59	9.21825079249141	0.630182525431859	0.10321185386258792	4.391152053409153	43.772629285741736	0.004312416834679883
non_load	59	9.180982555828843	0.628597390065619	0.09177452795905486	4.379714727505619	43.20540557395918	0.0024320620139669904
load	59	9.19751003510552	0.626303874070539	0.10549591096657814	4.393436110513143	41.153106180722936	0.004854613402850996
llama	69	9.209000017823477	0.6257421042985731	0.1035784110524296	4.391518610598994	43.71814784006356	0.004517673332193596
non_load	69	9.207743817795077	0.621546832980864	0.08313797444819365	4.371078173994758	42.925107609472505	0.0023279592756807895
load	69	9.187857855944072	0.6242178499554578	0.10106321170698843	4.389003411253553	40.93582116284921	0.004865226403646954
llama	78	9.201886924503935	0.6305374201860183	0.10472458359462763	4.392664783141193	43.77106578396816	0.004757861546167174
non_load	78	9.189225929222335	0.6247808527492072	0.08714206468046101	4.375082264227026	43.28554369255348	0.002516573670642916
load	78	9.189671478240319	0.618095478656436	0.10672207247457732	4.394662272021142	40.861381293382	0.004955293345717545
llama	9	9.134164360915523	0.4002791351612357	0.11169558085647284	4.399635756249522	43.326866428940384	0.0037292102421340044
llama	9	9.134164360915523	0.4002791351612357	0.11169558085647284	4.399635756249522	43.326866428940384	0.0037292102421340044
load	9	9.142295141157762	0.4002791354014723	0.11311037717042145	4.40105055256347	43.237921211454605	0.003764721202407578
llama	19	9.159750729146737	0.40027913554431566	0.11213254284495103	4.4000727182379995	43.58754375349722	0.0037473999449389663
non_load	19	9.137336024635498	0.40027913508332114	0.11001451841366837	4.397954693806716	45.11188358491802	0.003714402659291739
load	19	9.165232473335884	0.4002791346937483	0.11788247940587063	4.405822654798919	42.695193307539995	0.004142233209654834
llama	29	9.15789131961422	0.4002791347456913	0.11061259510730087	4.398552770500349	43.06126835756572	0.0037144822817796884
non_load	29	9.155222382115642	0.40027913551185124	0.11104024360382479	4.3989804189968735	43.71080812036602	0.003877183528126354
load	29	9.156121666239239	0.4002791355962587	0.11007945433681048	4.398019629729859	42.84058151993097	0.00388580172800868
llama	39	9.176042629986158	0.40027913468076254	0.11246824659293514	4.400408421985984	43.02612239893745	0.003827000792224304
non_load	39	9.175465261546615	0.4002791352196716	0.10954089299785805	4.397481068390906	43.37359661494985	0.0036361770888021974
load	39	9.163597815108846	0.4002791352196716	0.11876029241059081	4.406700467803639	43.61974908604341	0.004227471967873434
llama	49	9.189994140517998	0.40027913532355774	0.11708180317432013	4.405021978567369	43.03113502053653	0.004053461110467857
non_load	49	9.148337247428811	0.4002791354274438	0.11057283977018202	4.39851301516323	44.69162502174544	0.003816430123644125
load	49	9.176189272242045	0.4002791353949794	0.11743254677142972	4.405372722164478	45.04465041493019	0.003866151274932096
llama	59	9.188698986610946	0.40027913583649527	0.11880966318458773	4.406749838577636	44.882931127215784	0.004072853952095852
non_load	59	9.160730518351972	0.40027913554431566	0.11378799409388457	4.401728169486933	46.74185922857463	0.0037395213635967265
load	59	9.182699244454795	0.40027913577805935	0.11517337215232433	4.403113547545373	44.661790677612906	0.004029561561331614
llama	69	9.204829575838867	0.40027913491450623	0.11416199305997694	4.402102168453025	43.92596706845402	0.0040467622361237
non_load	69	9.16267183474336	0.4002791355313299	0.11916526761190045	4.407105443004949	45.95628363332977	0.003882798907371589
load	69	9.18335198654848	0.4002791358429882	0.1192937137774133	4.407233889170461	43.423515935453196	0.00417111113163542
llama	78	9.184686381209131	0.4002791356092445	0.1252146100166836	4.413154785409732	46.87747546468165	0.004014046237141177
non_load	78	9.164485788738157	0.4002791352716147	0.124076597259455	4.412016772652503	49.11003132074227	0.003790848206640333
load	78	9.209241520498184	0.4002791354664011	0.126143685716949	4.414083861109997	46.243763816954	0.0043889499003336736
non_load	9	9.147029728801161	0.40027913557028716	0.1093330579126063	4.397273233305655	44.074258125737344	0.0037894831473869552
